tissue,round_x,before_ncc,after_ncc,intensity,mean_rmse
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_12_initial_reg.tif,[0.87646498],[0.93256341],4.038190434504926,1.5334103
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_13_initial_reg.tif,[0.87469426],[0.93136279],5.443912943567093,1.5617888
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_14_initial_reg.tif,[0.88560598],[0.93707206],5.321096346973005,1.5576928
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_15_initial_reg.tif,[0.88014029],[0.93420168],4.6334707222922855,1.5508839
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_16_initial_reg.tif,[0.88196216],[0.93514666],5.211831347898974,1.5562553
GCA019ACA_,/nfs2/baos1/rudravg/GCA019ACA_DAPI_DAPI_12ms_ROUND_17_initial_reg.tif,[0.87194957],[0.92644234],4.706645151547826,1.5622694
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_01_initial_reg.tif,[0.9791711],[0.98781229],1.1867156710732232,1.4646587
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_02_initial_reg.tif,[0.99989301],[0.99829241],0.9942536159498233,1.4586756
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_03_initial_reg.tif,[0.91179013],[0.95000045],2.549080883529995,1.5057225
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_04_initial_reg.tif,[0.91992748],[0.96544532],2.3505287271166777,1.5209372
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_05_initial_reg.tif,[0.92381393],[0.96765901],2.536104830468861,1.5115062
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_06_initial_reg.tif,[0.91976408],[0.96890094],2.0290644987789563,1.5172845
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_07_initial_reg.tif,[0.91726391],[0.96521238],1.8817377673831424,1.5121772
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_08_initial_reg.tif,[0.91004607],[0.95510276],2.647843552728648,1.5137142
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_09_initial_reg.tif,[0.90704245],[0.9549477],1.8357211308311978,1.5179412
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_10_initial_reg.tif,[0.90355557],[0.95456307],2.8868363380823836,1.5206628
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_11_initial_reg.tif,[0.9038859],[0.9557844],2.340295097882844,1.5229243
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_12_initial_reg.tif,[0.89900327],[0.95544933],2.8877418030356674,1.525554
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_13_initial_reg.tif,[0.88862395],[0.9447065],3.4132431079578094,1.5387821
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_14_initial_reg.tif,[0.89084972],[0.94379875],4.537425431295362,1.552036
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_15_initial_reg.tif,[0.89599778],[0.94829347],3.741700921571396,1.5326607
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_16_initial_reg.tif,[0.89079309],[0.94427514],4.242464414767166,1.5444151
GCA019TIA_TISSUE01_,/nfs2/baos1/rudravg/GCA019TIA_TISSUE01_DAPI_DAPI_12ms_ROUND_17_initial_reg.tif,[0.88912579],[0.943824],3.9005191803495163,1.5376065
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_01_initial_reg.tif,[0.85376525],[0.92991676],0.6240623480687757,1.4517293
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_02_initial_reg.tif,[0.82204564],[0.89311408],0.6006708878045687,1.4279019
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_03_initial_reg.tif,[0.75642463],[0.84780358],0.46702422250886666,1.5651401
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_04_initial_reg.tif,[0.75509318],[0.85459152],0.5774812170942855,1.5123812
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_05_initial_reg.tif,[0.77991481],[0.87468158],0.6165092716988297,1.482863
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_06_initial_reg.tif,[0.75025191],[0.84365509],0.5512575970571258,1.508251
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_07_initial_reg.tif,[0.72925621],[0.83712095],0.6335096377488972,1.525259
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_08_initial_reg.tif,[0.68676895],[0.83076332],0.6958415656577635,1.5931181
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_09_initial_reg.tif,[0.72589171],[0.83807312],0.845095190909527,1.506159
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_10_initial_reg.tif,[0.70162559],[0.81936207],0.8412284160210898,1.514647
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_11_initial_reg.tif,[0.72211205],[0.83828959],0.8300136132509116,1.5096595
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_12_initial_reg.tif,[0.70227474],[0.81372934],0.7300682187261928,1.5104921
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_13_initial_reg.tif,[0.71029163],[0.82111207],0.9952740157977299,1.5269746
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_14_initial_reg.tif,[0.70128476],[0.82676021],0.8077789122704383,1.5487074
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_15_initial_reg.tif,[0.65399009],[0.81588222],1.0458451481054345,1.6449386
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_16_initial_reg.tif,[0.70535849],[0.83131352],0.8796903517985815,1.5317022
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_17_initial_reg.tif,[0.70040029],[0.83294742],1.0571772927136016,1.5374095
GCA020ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA020ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_18_initial_reg.tif,[0.69713674],[0.81851135],0.7680591972219529,1.5474583
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_01_initial_reg.tif,[0.84617488],[0.93982588],0.6598232050451255,1.5100843
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_02_initial_reg.tif,[0.84904506],[0.92281067],0.6567351810702475,1.4716948
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_03_initial_reg.tif,[0.80615942],[0.88708062],0.4807207463356082,1.5049964
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_04_initial_reg.tif,[0.79127673],[0.89027155],0.5821744076542262,1.5131264
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_05_initial_reg.tif,[0.80406257],[0.88865401],0.5813123036943262,1.4944764
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_06_initial_reg.tif,[0.7842724],[0.87738127],0.5511330689201978,1.5073184
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_07_initial_reg.tif,[0.77355879],[0.87061892],0.5469316603868014,1.5150152
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_08_initial_reg.tif,[0.76317178],[0.86332889],0.5741980535269924,1.5061685
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_09_initial_reg.tif,[0.74454064],[0.84685478],0.7767321560964854,1.502858
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_10_initial_reg.tif,[0.75745706],[0.85176583],0.7853269018324023,1.4958967
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_11_initial_reg.tif,[0.76239266],[0.85719087],0.7207508332738922,1.5031337
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_12_initial_reg.tif,[0.75197074],[0.85344854],0.6597238960362694,1.5090892
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_13_initial_reg.tif,[0.74655981],[0.84554546],0.8057624451997707,1.4987981
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_14_initial_reg.tif,[0.72739887],[0.83706606],0.8918323849245918,1.551744
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_15_initial_reg.tif,[0.71911971],[0.83917269],0.828725295794019,1.5512052
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_16_initial_reg.tif,[0.73530626],[0.8416837],0.8751864514646251,1.5258412
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_17_initial_reg.tif,[0.72168809],[0.84172246],0.9385845080159766,1.5384407
GCA020TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA020TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_18_initial_reg.tif,[0.72034007],[0.85062772],0.7035043099734738,1.5330764
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_01_initial_reg.tif,[0.84914514],[0.94697758],0.7711876956910568,1.4830731
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_02_initial_reg.tif,[0.84785687],[0.92951759],0.7272104035518072,1.4366566
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_03_initial_reg.tif,[0.80975577],[0.88147849],0.5510873374201839,1.4810852
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_04_initial_reg.tif,[0.79643453],[0.87903846],0.6717697696831533,1.4453216
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_05_initial_reg.tif,[0.79952326],[0.87975638],0.8585123484018974,1.438715
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_06_initial_reg.tif,[0.7697723],[0.87745872],0.7070895968017685,1.4792943
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_07_initial_reg.tif,[0.766455],[0.85838196],0.6127224894235701,1.4622597
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_08_initial_reg.tif,[0.76850875],[0.86277294],0.567156917285932,1.4621695
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_09_initial_reg.tif,[0.74898037],[0.85205819],0.6736725152743264,1.4557415
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_10_initial_reg.tif,[0.70958288],[0.81752489],0.9695464240219136,1.4745445
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_11_initial_reg.tif,[0.73144568],[0.84245447],0.9948165331025814,1.4786164
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_12_initial_reg.tif,[0.7228435],[0.8321509],0.9856075373856732,1.4791758
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_13_initial_reg.tif,[0.70170675],[0.83412712],1.2685104244840504,1.4989917
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_14_initial_reg.tif,[0.70357191],[0.82636403],1.1940677088320868,1.4905907
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_15_initial_reg.tif,[0.67256829],[0.82868334],1.2106901151843128,1.5443058
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_16_initial_reg.tif,[0.68067216],[0.81960462],1.1968873738446855,1.5181085
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_17_initial_reg.tif,[0.67462599],[0.81940143],1.44812819811755,1.5288655
GCA022ACB_TISSUE01_,/nfs2/baos1/rudravg/GCA022ACB_TISSUE01_DAPI_DAPI_12ms_ROUND_18_initial_reg.tif,[0.68683072],[0.8277133],0.9974282825289718,1.5151287
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_01_initial_reg.tif,[0.87264227],[0.95226583],0.8279267463031943,1.4592386
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_02_initial_reg.tif,[0.88054365],[0.94987715],0.9244368236545579,1.436052
