Instances,Mean_CD11B,Mean_CD20,Mean_CD3D,Mean_CD45,Mean_CD4,Mean_CD68,Mean_CD8,Mean_CGA,Mean_LYSOZYME,Mean_NAKATPASE,Mean_PANCK,Mean_SMA,Mean_SOX9,Mean_VIMENTIN,Mean_OLFM4,Epi+,Stroma+,Immune+,Progenitor,final_Enteroendocrine,final_Enterocytes,Fibroblasts/Stromal(undetermined),final_Fibroblasts,final_Stromal,final_Myeloid,final_Helper T,final_Cytotoxic T,final_T-cell receptor,final_Monocyte,final_Macrophage,final_B cell,final_Leukocyte,final_Progenitor
1688,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8.21476685056255e-07,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1734,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.61622396366947e-07,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1746,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2.93641172214313e-06,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1748,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999968303,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1755,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999859278,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1762,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
1776,False,False,False,True,True,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1777,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1794,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8.640882758931341e-09,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1795,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3.07157503972795e-08,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1797,False,False,False,False,False,False,False,False,False,False,False,True,False,True,3.06695641632691e-08,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1817,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1820,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4.78280979766928e-06,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1821,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2.32754775261471e-06,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1836,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.9999997506273,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1843,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999994961,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1873,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.15286433163447e-12,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1874,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4.87033292745807e-09,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1877,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999937017556,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1891,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.54710939571902e-06,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1896,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.99999999731924,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
