Instances,Mean_CD11B,Mean_CD20,Mean_CD3D,Mean_CD45,Mean_CD4,Mean_CD68,Mean_CD8,Mean_CGA,Mean_LYSOZYME,Mean_NAKATPASE,Mean_PANCK,Mean_SMA,Mean_SOX9,Mean_VIMENTIN,Mean_OLFM4,Mean_MUC2,Undefined,Epi+,Stroma+,Immune+,Progenitor,final_Enteroendocrine,final_Enterocytes,Fibroblasts/Stromal(undetermined),final_Fibroblasts,final_Stromal,final_Myeloid,final_Helper T,final_Cytotoxic T,final_T-cell receptor,final_Monocyte,final_Macrophage,final_B cell,final_Leukocyte,final_Progenitor
70,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,0.807941130590908,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,0.890215380540803,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,0.0310686699973186,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.444245239715565,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
74,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.0651492230329627,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
75,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.292047959028421,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
76,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0096821909028265,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
77,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.997162520984199,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,False,True,False,True,False,False,False,True,False,False,False,True,True,True,False,0.343376120940551,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,0.652327185680837,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0010442040228178,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
81,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0.0694282259558748,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.998645803389592,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
83,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0260954454235509,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
84,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.610523813285554,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
85,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,0.791314401223399,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,0.972871254629832,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
87,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.57918223981412,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1.43109412998177e-05,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
89,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.000434255346056,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
90,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,0.152246316228444,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,0.0495633027370341,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.541926393580978,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
